,"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
436,10309.0,"$75,000 -  $99,999",1700,640,760,230,480
437,10309.0,"$100,000 - $199,999",3630,620,2630,300,900
438,10309.0,"$200,000+",1230,80,1110,30,310
439,,,,,,,
440,10310.0,total,"11,600","5,390","3,400","2,550","2,440"
441,10310.0,"< $25,000",4240,2650,520,1030,640
442,10310.0,"$25,000 - $49,999",2440,1220,430,720,430
443,10310.0,"$50,000 - $74,999",1550,740,380,370,380
444,10310.0,"$75,000 -  $99,999",1020,380,390,210,290
445,10310.0,"$100,000 - $199,999",1860,370,1230,220,530
446,10310.0,"$200,000+",490,30,450,** ,170
447,,,,,,,
448,10312.0,total,"29,460","13,430","12,240","3,150","8,180"
449,10312.0,"< $25,000",7710,5690,1200,700,1920
450,10312.0,"$25,000 - $49,999",5110,2990,1240,780,1290
451,10312.0,"$50,000 - $74,999",4230,2270,1210,600,1220
452,10312.0,"$75,000 -  $99,999",3460,1300,1550,490,1120
453,10312.0,"$100,000 - $199,999",6870,1040,5180,520,2020
454,10312.0,"$200,000+",2080,140,1860,60,610
455,,,,,,,
456,10314.0,total,"41,190","19,170","15,910","5,190","11,010"
457,10314.0,"< $25,000",12250,8330,2270,1490,2870
458,10314.0,"$25,000 - $49,999",8230,4440,2250,1350,1920
459,10314.0,"$50,000 - $74,999",5980,2940,1890,950,1650
460,10314.0,"$75,000 -  $99,999",4540,1740,2010,610,1400
461,10314.0,"$100,000 - $199,999",8160,1520,5730,740,2490
462,10314.0,"$200,000+",2030,200,1760,50,680
463,,,,,,,
464,10451.0,total,"23,750","12,220","2,610","8,600","3,650"
465,10451.0,"< $25,000",11890,7020,910,3860,1740
466,10451.0,"$25,000 - $49,999",6880,3070,770,2940,910
467,10451.0,"$50,000 - $74,999",3020,1340,410,1210,570
468,10451.0,"$75,000 -  $99,999",1110,460,230,390,240
469,10451.0,"$100,000 - $199,999",780,330,250,200,170
470,10451.0,"$200,000+",70,** ,40,** ,20
471,,,,,,,
472,10452.0,total,"36,880","18,670","4,570","13,170","4,390"
473,10452.0,"< $25,000",20910,12390,1770,6540,2580
474,10452.0,"$25,000 - $49,999",10330,4240,1510,4420,1050
475,10452.0,"$50,000 - $74,999",3780,1450,690,1560,480
476,10452.0,"$75,000 -  $99,999",1170,400,320,440,170
477,10452.0,"$100,000 - $199,999",660,190,280,210,110
478,10452.0,"$200,000+",30,** ,** ,** ,** 
479,,,,,,,
480,10453.0,total,"38,520","19,590","4,480","13,950","4,700"
481,10453.0,"< $25,000",22690,13300,1790,7360,2790
482,10453.0,"$25,000 - $49,999",10580,4400,1520,4500,1130
483,10453.0,"$50,000 - $74,999",3500,1350,600,1480,470
484,10453.0,"$75,000 -  $99,999",1050,340,290,400,160
485,10453.0,"$100,000 - $199,999",660,200,280,210,150
486,10453.0,"$200,000+",40,** ,** ,** ,** 
487,,,,,,,
488,10454.0,total,"15,960","7,920","1,750","6,140","1,480"
489,10454.0,"< $25,000",9170,5250,640,3220,880
490,10454.0,"$25,000 - $49,999",4510,1840,560,2060,350
491,10454.0,"$50,000 - $74,999",1480,560,270,630,160
492,10454.0,"$75,000 -  $99,999",430,150,110,160,50
493,10454.0,"$100,000 - $199,999",330,120,150,70,40
494,10454.0,"$200,000+",40,** ,20,** ,** 
495,,,,,,,
496,10455.0,total,"18,080","8,900","2,200","6,780","1,760"
497,10455.0,"< $25,000",9940,5760,750,3340,970
